district	firstname	lastname	party	committee_leadership	committee_membership	UID
FL11	Daniel	Webster	R	['PW07_118']	['II00_118', 'PW00_118', 'SY00_118', 'II06_118', 'II13_118', 'PW02_118', 'PW12_118', 'SY16_118']	W000806
FL12	Gus	Bilirakis	R	['IF17_118']	['IF00_118', 'IF14_118', 'IF16_118']	B001257
FL13	Anna Paulina	Luna	R	[]	['GO00_118', 'II00_118', 'GO05_118', 'GO12_118', 'GO27_118', 'II13_118', 'II15_118']	L000596
FL14	Kathy	Castor	D	['IF02_118']	['IF00_118', 'ZS00_118', 'IF03_118', 'IF17_118']	C001066
FL15	Laurel	Lee	R	['HA08_118']	['HA00_118', 'HM00_118', 'JU00_118', 'HM07_118', 'HM08_118', 'JU03_118', 'JU08_118', 'JU13_118']	L000597
FL16	Vern	Buchanan	R	['WM02_118']	['WM00_118', 'WM04_118']	B001260
FL17	W.	Steube	R	[]	['FD00_118', 'WM00_118', 'WM01_118', 'WM04_118', 'WM06_118']	S001214
FL18	C.	Franklin	R	[]	['AP00_118', 'SY00_118', 'VR00_118', 'AP01_118', 'AP18_118', 'AP24_118', 'SY15_118', 'VR09_118', 'VR10_118']	F000472
FL19	Byron	Donalds	R	[]	['BA00_118', 'GO00_118', 'BA20_118', 'BA21_118', 'GO05_118', 'GO24_118']	D000032
FL20	Sheila	Cherfilus-McCormick	D	['VR11_118']	['FA00_118', 'VR00_118', 'FA16_118', 'FA17_118', 'VR08_118']	C001127
FL21	Brian	Mast	R	['FA17_118']	['FA00_118', 'PW00_118', 'FA13_118', 'PW02_118', 'PW05_118', 'PW07_118']	M001199
FL22	Lois	Frankel	D	[]	['AP00_118', 'AP04_118', 'AP07_118']	F000462
FL23	Jared	Moskowitz	D	[]	['FA00_118', 'GO00_118', 'FA07_118', 'GO06_118', 'GO12_118']	M001217
FL24	Frederica	Wilson	D	['ED13_118']	['ED00_118', 'PW00_118', 'ED14_118', 'PW02_118', 'PW05_118', 'PW14_118']	W000808
FL25	Debbie	Wasserman Schultz	D	['AP18_118']	['AP00_118', 'FD00_118', 'AP01_118', 'AP10_118']	W000797
FL26	Mario	Diaz-Balart	R	['AP04_118']	['AP00_118', 'AP02_118', 'AP20_118']	D000600
FL27	Maria	Salazar	R	['FA07_118']	['FA00_118', 'SM00_118', 'FA06_118', 'SM22_118', 'SM23_118']	S000168
FL28	Carlos	Gimenez	R	['HM07_118']	['AS00_118', 'HM00_118', 'ZS00_118', 'AS03_118', 'AS25_118', 'HM08_118']	G000593
GA01	Earl	Carter	R	[]	['BU00_118', 'IF00_118', 'IF14_118', 'IF16_118', 'IF18_118']	C001103
GA02	Sanford	Bishop	D	['AP01_118']	['AG00_118', 'AP00_118', 'AP18_118', 'AP23_118']	B000490
GA03	A.	Ferguson	R	['WM01_118']	['BU00_118', 'WM00_118', 'WM05_118']	F000465
GA04	Henry	Johnson	D	['JU03_118']	['JU00_118', 'PW00_118', 'JU05_118', 'JU10_118', 'PW05_118', 'PW12_118', 'PW14_118']	J000288
GA05	Nikema	Williams	D	[]	['BA00_118', 'BA04_118', 'BA09_118']	W000788
