state	firstname	lastname	party	committee_leadership	committee_membership
MI-Sen2	Gary C.	Peters	D	['SSGA00_118', 'SSGA01_118', 'SSGA20_118', 'SSGA22_118']	['SSCM00_118', 'SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP14_118', 'SSAP17_118', 'SSAP19_118', 'SSAS00_118', 'SSAS14_118', 'SSAS21_118', 'SSAS20_118', 'SSAS13_118']
RI-Sen2	Jack	Reed	D	['SSAP08_118', 'SLIN00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS21_118', 'SSAS20_118', 'SSAS17_118', 'SSAS15_118', 'SSAS13_118', 'SSAS16_118']	['SSAP00_118', 'SSAP16_118', 'SSAP02_118', 'SSAP17_118', 'SSAP18_118', 'SSAP19_118', 'SSAP24_118', 'SSBK00_118', 'SSBK12_118', 'SSBK09_118', 'SSBK04_118']
NE-Sen2	Pete	Ricketts	R	[]	['SSFR00_118', 'SPAG00_118', 'SSEV00_118']
ID-Sen2	James E.	Risch	R	['SSFR00_118']	['SSEG00_118', 'SLIN00_118', 'SCNC00_118', 'SSSB00_118', 'SLET00_118']
UT-Sen1	Mitt	Romney	R	['SSGA20_118']	['SSHR00_118', 'SSFR00_118', 'SSGA00_118', 'SSGA22_118', 'SSBU00_118']
NV-Sen1	Jacky	Rosen	D	[]	['SSCM00_118', 'SSAS00_118', 'SSAS21_118', 'SSAS20_118', 'SSAS16_118', 'SSGA00_118', 'SSGA20_118', 'SSSB00_118']
SD-Sen2	Mike	Rounds	R	['SSAS21_118', 'SSBK04_118']	['SLIN00_118', 'SSVA00_118', 'SSAS00_118', 'SSAS17_118', 'SSAS16_118', 'SSBK00_118', 'SSBK12_118', 'SSBK09_118', 'SLIA00_118']
FL-Sen3	Marco	Rubio	R	['SLIN00_118']	['SSAP00_118', 'SSAP23_118', 'SSAP18_118', 'SSAP08_118', 'SSAP19_118', 'SSAP20_118', 'SSFR00_118', 'SPAG00_118', 'SSSB00_118']
VT-Sen1	Bernard	Sanders	I	['SSHR00_118']	['SSEG00_118', 'SSVA00_118', 'SSEV00_118', 'SSBU00_118']
HI-Sen3	Brian	Schatz	D	['SSAP24_118', 'SLIA00_118']	['SSCM00_118', 'SSAP00_118', 'SSAP16_118', 'SSAP02_118', 'SSAP18_118', 'SSAP19_118', 'SSAP20_118', 'SSFR00_118', 'SLET00_118']
MO-Sen3	Eric	Schmitt	R	[]	['SSCM00_118', 'SSAS00_118', 'SSAS21_118', 'SSAS20_118', 'SSAS13_118', 'JSEC00_118']
NY-Sen3	Charles E.	Schumer	D	['SLIN00_118']	['SSRA00_118']
FL-Sen1	Rick	Scott	R	['SSAS17_118']	['SSAS00_118', 'SSAS14_118', 'SSAS13_118', 'SPAG00_118', 'SSGA00_118', 'SSGA01_118', 'SSGA20_118', 'SSBU00_118']
SC-Sen3	Tim	Scott	R	['SSBK00_118', 'SSBK12_118', 'SSBK08_118', 'SSBK09_118', 'SSBK05_118', 'SSBK04_118']	['SSFI00_118', 'SSFI12_118', 'SSFI10_118', 'SSFI13_118', 'SSFR00_118', 'JCSE00_118', 'SPAG00_118', 'SSSB00_118']
NH-Sen2	Jeanne	Shaheen	D	['SSAP16_118']	['SSAP00_118', 'SSAP02_118', 'SSAP22_118', 'SSAP14_118', 'SSAP18_118', 'SSAP20_118', 'SSFR00_118', 'JCSE00_118', 'SSAS00_118', 'SSAS20_118', 'SSAS15_118', 'SSAS13_118', 'SSSB00_118', 'SLET00_118']
