unitid,effydlev,xeydetot,efydetot,xeydeexc,efydeexc,xeydesom,efydesom,xeydenon,efydenon
105154,"Undergraduate, non-degree/certificate-seeking",R,7792,R,5302.0,R,433.0,R,2057.0
105206,All students total,R,4782,R,1251.0,R,1785.0,R,1746.0
105206,Undergraduate total,R,4782,R,1251.0,R,1785.0,R,1746.0
105206,"Undergraduate, degree/certificate-seeking",R,3099,R,1097.0,R,1421.0,R,581.0
105206,"Undergraduate, non-degree/certificate-seeking",R,1683,R,154.0,R,364.0,R,1165.0
105215,All students total,R,1263,A,,A,,R,1263.0
105215,Undergraduate total,R,1263,A,,A,,R,1263.0
105215,"Undergraduate, non-degree/certificate-seeking",R,1263,A,,A,,R,1263.0
105297,All students total,R,1872,R,1745.0,R,127.0,R,0.0
105297,Undergraduate total,R,1872,R,1745.0,R,127.0,R,0.0
105297,"Undergraduate, degree/certificate-seeking",R,1693,R,1568.0,R,125.0,R,0.0
105297,"Undergraduate, non-degree/certificate-seeking",R,179,R,177.0,R,2.0,R,0.0
105330,All students total,R,33349,R,8196.0,R,16977.0,R,8176.0
105330,Undergraduate total,R,28044,R,5737.0,R,15812.0,R,6495.0
